X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0,-0.6666666644
0.000001420454545,-0.6653563832
0.000002840909091,-0.6640435369
0.000005681818182,-0.661410169
0.00001136363636,-0.6561128746
0.00002272727273,-0.6453971987
0.00004545454545,-0.6234908039
0.00009090909091,-0.5778543099
0.0001818181818,-0.4799288477
0.0003238636364,-0.312388356
0.0004659090909,-0.132842955
0.0006079545455,0.05180752629
0.00075,0.2344670734
0.0008920454545,0.4081161824
0.001034090909,0.5660816153
0.001176136364,0.7022928492
0.001318181818,0.8115153628
0.001460227273,0.8895517961
0.001602272727,0.9334032528
0.001744318182,0.9413845459
0.001886363636,0.9131889588
0.002028409091,0.8499000322
0.002170454545,0.7539499239
0.0023125,0.6290259429
0.002454545455,0.4799288477
0.002596590909,0.312388356
0.002738636364,0.132842955
0.002880681818,-0.05180752629
0.003022727273,-0.2344670734
0.003164772727,-0.4081161824
0.003306818182,-0.5660816153
0.003448863636,-0.7022928492
0.003590909091,-0.8115153628
0.003732954545,-0.8895517961
0.003875,-0.9334032528
0.004017045455,-0.9413845459
0.004159090909,-0.9131889588
0.004301136364,-0.8499000322
0.004443181818,-0.7539499239
0.004585227273,-0.6290259429
0.004727272727,-0.4799288477
0.004869318182,-0.312388356
0.005011363636,-0.132842955
0.005153409091,0.05180752629
0.005295454545,0.2344670734
0.0054375,0.4081161824
0.005579545455,0.5660816153
0.005721590909,0.7022928492
0.005863636364,0.8115153628
0.006005681818,0.8895517961
0.006147727273,0.9334032528
0.006289772727,0.9413845459
0.006431818182,0.9131889588
0.006573863636,0.8499000322
0.006715909091,0.7539499239
0.006857954545,0.6290259429
0.007,0.4799288477
0.007142045455,0.312388356
0.007284090909,0.132842955
0.007426136364,-0.05180752629
0.007568181818,-0.2344670734
0.007710227273,-0.4081161824
0.007852272727,-0.5660816153
0.007994318182,-0.7022928492
0.008136363636,-0.8115153628
0.008278409091,-0.8895517961
0.008420454545,-0.9334032528
0.0085625,-0.9413845459
0.008704545455,-0.9131889588
0.008846590909,-0.8499000322
0.008988636364,-0.7539499239
0.009130681818,-0.6290259429
0.009272727273,-0.4799288477
0.009414772727,-0.312388356
0.009556818182,-0.132842955
0.009698863636,0.05180752629
0.009840909091,0.2344670734
0.009982954545,0.4081161824
0.010125,0.5660816153
0.01026704545,0.7022928492
0.01040909091,0.8115153628
0.01055113636,0.8895517961
0.01069318182,0.9334032528
0.01083522727,0.9413845459
0.01097727273,0.9131889588
0.01111931818,0.8499000322
0.01126136364,0.7539499239
0.01140340909,0.6290259429
0.01154545455,0.4799288477
0.0116875,0.312388356
0.01182954545,0.132842955
0.01197159091,-0.05180752629
0.01211363636,-0.2344670734
0.01225568182,-0.4081161823
0.01239772727,-0.5660816153
0.01253977273,-0.7022928492
0.01268181818,-0.8115153628
0.01282386364,-0.8895517961
0.01296590909,-0.9334032528
0.01310795455,-0.9413845459
0.01325,-0.9131889588
0.01339204545,-0.8499000322
0.01353409091,-0.7539499239
0.01367613636,-0.6290259429
0.01381818182,-0.4799288477
0.01396022727,-0.312388356
0.01410227273,-0.132842955
0.01424431818,0.05180752629
0.01438636364,0.2344670734
0.01452840909,0.4081161823
0.01467045455,0.5660816153
0.0148125,0.7022928492
0.01495454545,0.8115153628
0.01509659091,0.8895517961
0.01523863636,0.9334032528
0.01538068182,0.9413845459
0.01552272727,0.9131889588
0.01566477273,0.8499000322
0.01580681818,0.7539499239
0.01594886364,0.6290259429
0.01609090909,0.4799288477
0.01623295455,0.312388356
0.016375,0.132842955
0.01651704545,-0.05180752629
0.01665909091,-0.2344670734
0.01680113636,-0.4081161823
0.01694318182,-0.5660816153
0.01708522727,-0.7022928492
0.01722727273,-0.8115153628
0.01736931818,-0.8895517961
0.01751136364,-0.9334032528
0.01765340909,-0.9413845459
0.01779545455,-0.9131889588
0.0179375,-0.8499000322
0.01807954545,-0.7539499239
0.01822159091,-0.6290259429
0.01836363636,-0.4799288477
0.01850568182,-0.312388356
0.01864772727,-0.132842955
0.01878977273,0.05180752629
0.01893181818,0.2344670734
0.01907386364,0.4081161823
0.01921590909,0.5660816153
0.01935795455,0.7022928492
0.0195,0.8115153628
0.01964204545,0.8895517961
0.01978409091,0.9334032528
0.01992613636,0.9413845459
0.02,0.9312014947